VENUE,CATEGORY,TOP_LEVEL_CATEGORY,NEIGHBORHOOD,NEIGHBORHOOD_LAT,NEIGHBORHOOD_LNG
0,Westlake Dance Center,Dance Studio,Arts & Entertainment,Northgate Neighborhood,47.70859338,-122.32327578
1,Kidgits,General Entertainment,Arts & Entertainment,Northgate Neighborhood,47.70859338,-122.32327578
2,Hot Blonde Bum @ 5th And Northgate,Outdoor Sculpture,Arts & Entertainment,Northgate Neighborhood,47.70859338,-122.32327578
3,The Wolfe Den,Theme Park Ride / Attraction,Arts & Entertainment,Northgate Neighborhood,47.70859338,-122.32327578
4,Circulation,Art Gallery,Arts & Entertainment,Northgate Neighborhood,47.70859338,-122.32327578
0,Sueno de Salsa,Salsa Club,Arts & Entertainment,Lake City Neighborhood,47.71927766,-122.29522754
1,Lake City Gateway,Art Gallery,Arts & Entertainment,Lake City Neighborhood,47.71927766,-122.29522754
2,Dancesport International,Dance Studio,Arts & Entertainment,Lake City Neighborhood,47.71927766,-122.29522754
3,Audio Logic INC.,Music Venue,Arts & Entertainment,Lake City Neighborhood,47.71927766,-122.29522754
0,Luminaire,Art Gallery,Arts & Entertainment,Wedgewood Neighborhood,47.67578349,-122.2902732
0,Pink Gorilla,Video Game Store,Arts & Entertainment,University District,47.66126761,-122.31313279
1,Burke Museum,Science Museum,Arts & Entertainment,University District,47.66126761,-122.31313279
2,Royalgaming Cafe,Arcade,Arts & Entertainment,University District,47.66126761,-122.31313279
3,free movement zone,General Entertainment,Arts & Entertainment,University District,47.66126761,-122.31313279
4,Fossils Uncovered,Exhibit,Arts & Entertainment,University District,47.66126761,-122.31313279
5,University District Street Fair,Art Gallery,Arts & Entertainment,University District,47.66126761,-122.31313279
6,Northwest Native Art Gallery,Art Gallery,Arts & Entertainment,University District,47.66126761,-122.31313279
7,Amazing Life Gallery,Exhibit,Arts & Entertainment,University District,47.66126761,-122.31313279
8,Our Material World,Exhibit,Arts & Entertainment,University District,47.66126761,-122.31313279
9,Culture Is Living Gallery,Art Gallery,Arts & Entertainment,University District,47.66126761,-122.31313279
10,Gargoyles Statuary,Art Gallery,Arts & Entertainment,University District,47.66126761,-122.31313279
11,Neptune Theatre,Music Venue,Arts & Entertainment,University District,47.66126761,-122.31313279
